Timevalue,Viable Cell Density,Glucose,Glutamine,Lactate,Ammonium,Product,Impurity 1,Impurity 2
10.18442846,5.741681766,23.08920892,5.016810934,4.517815905,0.607358254,0.002867597,0.034891051,0.01163035
11.22398831,6.141453362,22.97266443,4.938480319,4.655198597,0.67219766,0.003305715,0.039867985,0.013289328
12.26354815,6.567572943,22.84843878,4.858488303,4.801635852,0.737809294,0.003780258,0.045172936,0.015057645
13.94436351,7.316268492,22.6301733,4.725322446,5.058927294,0.845708702,0.004632711,0.054493779,0.018164593
15.62517886,8.14482768,22.38862537,4.586944718,5.343664111,0.956124802,0.005603635,0.06480888,0.02160296
17.30599422,9.060565783,22.12166237,4.44278125,5.65836022,1.069384588,0.006710303,0.07620931,0.025403103
18.98680958,10.07115719,21.827047,4.292234453,6.005652947,1.185826661,0.007972801,0.088790611,0.02959687
20.66762493,11.18454564,21.50246345,4.134691264,6.388272184,1.305796005,0.009414586,0.102651678,0.034217226
22.34844029,12.40881219,21.14555587,3.969534974,6.808995008,1.429636613,0.011063126,0.117893115,0.039297705
24.02925564,13.75198652,20.75398338,3.796161919,7.27058084,1.557681171,0.012950694,0.134614888,0.044871629
25.710071,15.22177938,20.32549808,3.614004941,7.775679505,1.690236619,0.015115392,0.152912992,0.050970997
27.39088636,16.82520962,19.85805379,3.422565838,8.326703052,1.827564293,0.017602418,0.172874806,0.057624935
29.07170171,18.56809421,19.34995469,3.221459439,8.925650501,1.969853055,0.020465656,0.19457275,0.064857583
30.75251707,20.45436231,18.80005533,3.010472609,9.573872116,2.117183444,0.023769642,0.218055738,0.072685246
32.43333243,22.48514931,18.20802471,2.789641856,10.27175808,2.269480634,0.027591997,0.243337907,0.081112636
34.11414778,24.65759831,17.5746957,2.55935572,11.01832661,2.426452498,0.03202648,0.270383688,0.090127896
35.79496314,26.9633515,16.90250483,2.320483112,11.81070551,2.587512179,0.03718656,0.299089032,0.099696344
37.47577849,29.38668205,16.1960369,2.074531622,12.64349023,2.751682823,0.04320951,0.32925815,0.109752717
39.15659385,31.90230927,15.46266194,1.823831591,13.50799297,2.917487247,0.050260659,0.360576309,0.120192103
40.83740921,34.47309791,14.7132059,1.571727839,14.39145209,3.082833842,0.058536835,0.392581197,0.130860399
42.51822456,37.04814561,13.96250823,1.322734436,15.27637485,3.244926357,0.068266962,0.424639109,0.14154637
43.6493037,38.75106004,13.46606154,1.159764431,15.86158644,3.350427611,0.075761133,0.445839446,0.148613149
44.78038285,40.40328952,12.98439092,1.002797723,16.42937999,3.451636048,0.084110943,0.466408784,0.155469595
45.91146199,41.98005522,12.52472008,0.853970568,16.97124019,3.547251629,0.093394969,0.486038639,0.16201288
47.04254113,43.45635394,12.09433814,0.715419155,17.47857462,3.635981958,0.10368315,0.504417737,0.168139246
47.8807193,44.47163968,11.79835425,0.620549709,17.82748056,3.696588259,0.111987465,0.51705748,0.172352493
48.71889747,45.41079514,11.52456444,0.533079373,18.15022411,3.75236464,0.120886065,0.528749443,0.176249814
49.55707564,46.26762372,11.27477519,0.45350583,18.44467579,3.803022538,0.130382072,0.539416482,0.179805494
50.3952538,47.03819887,11.0501312,0.382122206,18.70948623,3.848401337,0.140467727,0.549009714,0.183003238
51.23343197,47.72111673,10.85104175,0.318996123,18.94417297,3.888480791,0.151124031,0.557511661,0.18583722
52.07161014,48.31757418,10.67715789,0.263964381,19.14914734,3.92338371,0.162321169,0.564937225,0.188312408
52.90978831,48.83120921,10.52741907,0.216648701,19.32565953,3.953365598,0.174019892,0.571331695,0.190443898
53.74796648,49.26761094,10.40019588,0.176500628,19.47563028,3.978786294,0.186174185,0.576764654,0.192254885
54.58614465,49.6338372,10.29343079,0.142845438,19.60148502,4.000082339,0.198733755,0.581323967,0.193774656
55.42432282,49.93774684,10.20483272,0.114942145,19.70592447,4.017729505,0.211647121,0.585107473,0.195035824
